City_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Otta,NO,61.7712,9.5353,64.09,78,100,3.98,light rain
329,Isangel,VU,-19.55,169.2667,73.15,87,81,13.35,broken clouds
330,Marrakesh,MA,31.6315,-8.0083,113.07,9,40,9.22,scattered clouds
331,Dossor,KZ,47.5272,52.9811,86.31,27,39,9.86,scattered clouds
332,Harper,LR,4.375,-7.7169,76.51,77,91,12.19,overcast clouds
333,Seymchan,RU,62.8833,152.4333,52.7,76,41,6.8,scattered clouds
334,Kitimat,CA,54.0524,-128.6534,71.98,32,86,3.58,overcast clouds
335,Olafsvik,IS,64.8945,-23.7142,49.53,71,78,14.38,broken clouds
336,Aykino,RU,62.2248,49.9922,61.03,97,83,3.71,broken clouds
337,Klaksvik,FO,62.2266,-6.589,52.32,76,40,14.9,scattered clouds
338,Salou,ES,41.0766,1.1416,86.74,62,20,5.75,few clouds
339,Bengkulu,ID,-3.8004,102.2655,75.7,91,73,3.6,broken clouds
340,Agen,FR,44.2,0.6333,91.56,29,0,8.05,clear sky
341,Jumla,NP,29.2747,82.1838,63.16,96,100,1.43,overcast clouds
342,Sayyan,YE,15.1718,44.3244,61.99,72,89,4.61,overcast clouds
343,Ngaoundere,CM,7.3167,13.5833,65.35,98,100,4.18,light rain
344,Cidreira,BR,-30.1811,-50.2056,60.98,73,68,11.45,broken clouds
345,Ormara,PK,25.2088,64.6357,82.09,86,99,16.82,overcast clouds
